skill_name,related_skills,category
Selenium,"WebDriver, Automation Scripts",Software Testing
Cisco Networking,"Routing, Switching, Subnetting",Networking
TensorFlow,"Keras, Deep Learning, Neural Networks",Machine Learning
Unity,"C#, Game Physics, Asset Management",Game Development
C++,"STL, Memory Management, Pointers",Programming
AWS,"EC2, S3, Lambda, CloudFormation",Cloud Computing
Android,"Kotlin, Jetpack, Android Studio",Mobile Development
Agile,"Scrum, Kanban, Standups",Project Management
SQL,"MySQL, PostgreSQL, Query Optimization",Database Management
Selenium,"WebDriver, Automation Scripts",Software Testing
Unity,"C#, Game Physics, Asset Management",Game Development
Unity,"C#, Game Physics, Asset Management",Game Development
Android,"Kotlin, Jetpack, Android Studio",Mobile Development
JavaScript,"React, Vue, Node.js, Express",Web Development
Penetration Testing,"Metasploit, Wireshark, Burp Suite",Cybersecurity
AWS,"EC2, S3, Lambda, CloudFormation",Cloud Computing
Linux,"Bash, Shell Scripting, Systemd, File Systems",Operating Systems
Android,"Kotlin, Jetpack, Android Studio",Mobile Development
JavaScript,"React, Vue, Node.js, Express",Web Development
Penetration Testing,"Metasploit, Wireshark, Burp Suite",Cybersecurity
Agile,"Scrum, Kanban, Standups",Project Management
SQL,"MySQL, PostgreSQL, Query Optimization",Database Management
Cisco Networking,"Routing, Switching, Subnetting",Networking
Cisco Networking,"Routing, Switching, Subnetting",Networking
Cisco Networking,"Routing, Switching, Subnetting",Networking
SQL,"MySQL, PostgreSQL, Query Optimization",Database Management
Cisco Networking,"Routing, Switching, Subnetting",Networking
Cisco Networking,"Routing, Switching, Subnetting",Networking
Penetration Testing,"Metasploit, Wireshark, Burp Suite",Cybersecurity
AWS,"EC2, S3, Lambda, CloudFormation",Cloud Computing
Cisco Networking,"Routing, Switching, Subnetting",Networking
AWS,"EC2, S3, Lambda, CloudFormation",Cloud Computing
Cisco Networking,"Routing, Switching, Subnetting",Networking
TensorFlow,"Keras, Deep Learning, Neural Networks",Machine Learning
Selenium,"WebDriver, Automation Scripts",Software Testing
CompTIA A+,"Hardware, BIOS, Motherboards, RAM",Hardware
Docker,"Kubernetes, Containers, Microservices",DevOps
Selenium,"WebDriver, Automation Scripts",Software Testing
Python,"Flask, Django, Pandas, NumPy",Programming
Android,"Kotlin, Jetpack, Android Studio",Mobile Development
Selenium,"WebDriver, Automation Scripts",Software Testing
Unity,"C#, Game Physics, Asset Management",Game Development
Agile,"Scrum, Kanban, Standups",Project Management
C++,"STL, Memory Management, Pointers",Programming
Android,"Kotlin, Jetpack, Android Studio",Mobile Development
Docker,"Kubernetes, Containers, Microservices",DevOps
Unity,"C#, Game Physics, Asset Management",Game Development
Photoshop,"Image Editing, Layers, Typography",UI/UX Design
SQL,"MySQL, PostgreSQL, Query Optimization",Database Management
Unity,"C#, Game Physics, Asset Management",Game Development
Python,"Flask, Django, Pandas, NumPy",Programming
C++,"STL, Memory Management, Pointers",Programming
Docker,"Kubernetes, Containers, Microservices",DevOps
Unity,"C#, Game Physics, Asset Management",Game Development
Selenium,"WebDriver, Automation Scripts",Software Testing
Photoshop,"Image Editing, Layers, Typography",UI/UX Design
